0.500000  0.000000
0.499013  0.031395
0.496057  0.062667
0.491144  0.093691
0.484292  0.124345
0.475528  0.154508
0.464888  0.184062
0.452414  0.212890
0.438153  0.240877
0.422164  0.267913
0.404508  0.293893
0.385257  0.318712
0.364484  0.342274
0.342274  0.364484
0.318712  0.385257
0.293893  0.404508
0.267913  0.422164
0.240877  0.438153
0.212890  0.452414
0.184062  0.464888
0.154508  0.475528
0.124345  0.484292
0.093691  0.491144
0.062667  0.496057
0.031395  0.499013
-0.000000  0.500000
-0.031395  0.499013
-0.062667  0.496057
-0.093691  0.491144
-0.124345  0.484292
-0.154508  0.475528
-0.184062  0.464888
-0.212890  0.452414
-0.240877  0.438153
-0.267913  0.422164
-0.293893  0.404508
-0.318712  0.385257
-0.342274  0.364484
-0.364484  0.342274
-0.385257  0.318712
-0.404508  0.293893
-0.422164  0.267913
-0.438153  0.240877
-0.452414  0.212890
-0.464888  0.184062
-0.475528  0.154508
-0.484292  0.124345
-0.491144  0.093691
-0.496057  0.062667
-0.499013  0.031395
-0.500000  -0.000000
-0.499013  -0.031395
-0.496057  -0.062667
-0.491144  -0.093691
-0.484292  -0.124345
-0.475528  -0.154508
-0.464888  -0.184062
-0.452414  -0.212890
-0.438153  -0.240877
-0.422164  -0.267913
-0.404508  -0.293893
-0.385257  -0.318712
-0.364484  -0.342274
-0.342274  -0.364484
-0.318712  -0.385257
-0.293893  -0.404508
-0.267913  -0.422164
-0.240877  -0.438153
-0.212890  -0.452414
-0.184062  -0.464888
-0.154508  -0.475528
-0.124345  -0.484292
-0.093691  -0.491144
-0.062667  -0.496057
-0.031395  -0.499013
-0.000000  -0.500000
0.031395  -0.499013
0.062667  -0.496057
0.093691  -0.491144
0.124345  -0.484292
0.154508  -0.475528
0.184062  -0.464888
0.212890  -0.452414
0.240877  -0.438153
0.267913  -0.422164
0.293893  -0.404508
0.318712  -0.385257
0.342274  -0.364484
0.364484  -0.342274
0.385257  -0.318712
0.404508  -0.293893
0.422164  -0.267913
0.438153  -0.240877
0.452414  -0.212890
0.464888  -0.184062
0.475528  -0.154508
0.484292  -0.124345
0.491144  -0.093691
0.496057  -0.062667
0.499013  -0.031395
0.500000  -0.000000
